Transaction ID,Filtered Transaction
TranS7206,"Soft Drinks, Cigarettes, Snacks, Batteries, Milk"
TranS7207,"Milk, Energy Drinks, Gum, Cigarettes, Toiletries"
TranS7208,"Cigarettes, Milk, Batteries, Snacks, Candy"
TranS7209,"Milk, Batteries, Candy"
TranS7210,"Candy, Milk"
TranS7211,Candy
TranS7212,"Snacks, Batteries, Gum, Magazine"
TranS7213,"Soft Drinks, Cigarettes, Batteries"
TranS7214,"Milk, Toiletries"
TranS7215,Soft Drinks
TranS7216,"Cigarettes, Snacks, Magazine, Energy Drinks, Gum"
TranS7217,"Batteries, Energy Drinks, Cigarettes, Candy, Gum"
TranS7218,"Milk, Snacks, Soft Drinks"
TranS7219,"Toiletries, Candy"
TranS7220,"Toiletries, Candy, Gum"
TranS7221,"Candy, Batteries, Magazine"
TranS7222,"Candy, Toiletries, Soft Drinks, Gum, Magazine"
TranS7223,"Toiletries, Milk, Snacks"
TranS7224,"Candy, Toiletries, Snacks"
TranS7225,"Milk, Gum"
TranS7226,"Energy Drinks, Gum, Soft Drinks, Snacks"
TranS7227,"Cigarettes, Milk"
TranS7228,Candy
TranS7229,"Magazine, Soft Drinks"
TranS7230,"Batteries, Soft Drinks, Candy"
TranS7231,Candy
TranS7232,"Gum, Toiletries"
TranS7233,"Batteries, Toiletries, Energy Drinks, Candy"
TranS7234,"Gum, Energy Drinks, Cigarettes, Snacks, Toiletries"
TranS7235,"Magazine, Candy, Cigarettes"
TranS7236,"Soft Drinks, Toiletries"
TranS7237,Candy
TranS7238,Milk
TranS7239,"Toiletries, Energy Drinks, Snacks, Magazine"
TranS7240,Batteries
TranS7241,"Energy Drinks, Milk"
TranS7242,"Cigarettes, Batteries"
TranS7243,"Toiletries, Snacks, Gum"
TranS7244,"Soft Drinks, Candy, Toiletries"
TranS7245,"Cigarettes, Toiletries"
TranS7246,Batteries
TranS7247,"Cigarettes, Candy"
TranS7248,Batteries
TranS7249,Milk
TranS7250,"Energy Drinks, Soft Drinks, Gum, Magazine"
TranS7251,"Snacks, Candy, Energy Drinks"
TranS7252,"Batteries, Gum, Toiletries"
TranS7253,"Snacks, Milk"
TranS7254,"Snacks, Cigarettes, Batteries, Candy, Soft Drinks"
TranS7255,"Magazine, Milk"
TranS7256,"Gum, Milk"
TranS7257,Magazine
TranS7258,Candy
TranS7259,"Magazine, Cigarettes, Milk, Snacks, Toiletries"
TranS7260,"Energy Drinks, Cigarettes, Gum, Magazine"
TranS7261,"Snacks, Magazine, Energy Drinks"
TranS7262,Gum
TranS7263,"Toiletries, Magazine"
TranS7264,Milk
TranS7265,Cigarettes
TranS7266,"Energy Drinks, Gum, Toiletries, Snacks, Candy"
TranS7267,"Magazine, Soft Drinks, Snacks, Gum"
TranS7268,"Milk, Batteries"
TranS7269,"Energy Drinks, Gum, Cigarettes, Soft Drinks, Snacks"
TranS7270,"Gum, Magazine"
TranS7271,"Soft Drinks, Snacks"
TranS7272,"Cigarettes, Milk, Magazine, Batteries"
TranS7273,Batteries
TranS7274,"Magazine, Candy, Toiletries, Energy Drinks, Gum"
TranS7275,Milk
TranS7276,"Energy Drinks, Milk, Batteries, Toiletries, Magazine"
TranS7277,"Snacks, Cigarettes"
TranS7278,"Gum, Milk, Soft Drinks, Toiletries, Snacks"
TranS7279,"Batteries, Energy Drinks, Milk, Gum"
TranS7280,"Gum, Soft Drinks"
TranS7281,"Batteries, Cigarettes, Milk"
TranS7282,"Candy, Milk, Gum, Toiletries"
TranS7283,"Batteries, Energy Drinks, Snacks"
TranS7284,"Candy, Milk, Soft Drinks, Batteries, Cigarettes"
TranS7285,"Soft Drinks, Cigarettes"
TranS7286,"Soft Drinks, Snacks, Candy, Milk, Toiletries"
TranS7287,"Milk, Soft Drinks"
TranS7288,"Toiletries, Magazine, Gum, Soft Drinks"
TranS7289,"Cigarettes, Energy Drinks, Gum, Toiletries, Candy"
TranS7290,"Cigarettes, Milk, Energy Drinks, Toiletries, Batteries"
TranS7291,Energy Drinks
TranS7292,"Soft Drinks, Batteries, Snacks, Milk, Cigarettes"
TranS7293,Candy
TranS7294,"Batteries, Toiletries, Energy Drinks"
TranS7295,"Cigarettes, Milk, Magazine, Batteries"
TranS7296,"Candy, Soft Drinks, Energy Drinks, Toiletries, Snacks"
TranS7297,"Soft Drinks, Gum, Energy Drinks, Toiletries"
TranS7298,"Toiletries, Magazine, Gum"
TranS7299,"Batteries, Soft Drinks"
TranS7300,Toiletries
TranS7301,"Toiletries, Milk, Magazine, Soft Drinks, Energy Drinks"
TranS7302,"Snacks, Milk, Batteries"
TranS7303,"Candy, Magazine, Soft Drinks"
TranS7304,Toiletries
TranS7305,"Candy, Toiletries, Batteries, Milk"
TranS7306,"Magazine, Soft Drinks, Candy, Cigarettes, Toiletries"
TranS7307,Magazine
TranS7308,"Toiletries, Gum, Milk"
TranS7309,"Cigarettes, Candy, Milk, Snacks"
TranS7310,"Cigarettes, Batteries, Magazine, Candy, Toiletries"
TranS7311,"Magazine, Snacks"
TranS7312,"Batteries, Snacks"
TranS7313,"Snacks, Gum"
TranS7314,"Magazine, Batteries, Toiletries"
TranS7315,"Toiletries, Snacks, Energy Drinks, Soft Drinks, Cigarettes"
TranS7316,"Soft Drinks, Snacks, Toiletries, Milk, Batteries"
TranS7317,"Milk, Soft Drinks, Cigarettes"
TranS7318,"Cigarettes, Magazine"
TranS7319,"Milk, Cigarettes, Candy, Batteries"
TranS7320,"Milk, Magazine, Cigarettes"
TranS7321,Soft Drinks
TranS7322,"Toiletries, Gum, Cigarettes, Soft Drinks, Energy Drinks"
TranS7323,"Batteries, Toiletries, Milk"
TranS7324,"Gum, Batteries, Candy"
TranS7325,"Magazine, Milk, Gum, Batteries"
TranS7326,"Magazine, Gum, Milk, Cigarettes"
TranS7327,"Candy, Batteries"
TranS7328,"Batteries, Soft Drinks, Magazine, Milk"
TranS7329,Milk
TranS7330,"Cigarettes, Energy Drinks"
TranS7331,"Toiletries, Magazine, Cigarettes, Batteries, Milk"
TranS7332,"Soft Drinks, Magazine, Cigarettes"
TranS7333,"Energy Drinks, Soft Drinks, Gum"
TranS7334,"Soft Drinks, Magazine"
TranS7335,"Soft Drinks, Batteries, Cigarettes, Milk, Snacks"
TranS7336,"Soft Drinks, Milk, Magazine"
TranS7337,"Magazine, Soft Drinks, Snacks, Batteries, Toiletries"
TranS7338,Magazine
TranS7339,"Cigarettes, Energy Drinks, Milk, Snacks, Magazine"
TranS7340,"Toiletries, Candy, Cigarettes, Milk"
TranS7341,"Batteries, Milk, Cigarettes"
TranS7342,"Snacks, Soft Drinks, Toiletries"
TranS7343,"Milk, Cigarettes, Magazine"
TranS7344,"Gum, Candy, Batteries, Cigarettes"
TranS7345,"Energy Drinks, Gum, Magazine, Soft Drinks"
TranS7346,"Candy, Toiletries"
TranS7347,"Candy, Magazine"
TranS7348,"Gum, Batteries, Soft Drinks"
TranS7349,"Batteries, Snacks, Energy Drinks, Candy, Toiletries"
TranS7350,"Magazine, Energy Drinks"
TranS7351,Snacks
TranS7352,Toiletries
TranS7353,"Magazine, Soft Drinks, Toiletries, Cigarettes"
TranS7354,"Soft Drinks, Energy Drinks, Magazine, Gum"
TranS7355,"Gum, Soft Drinks, Energy Drinks, Magazine"
TranS7356,"Candy, Batteries"
TranS7357,"Snacks, Soft Drinks, Batteries"
TranS7358,"Soft Drinks, Milk"
TranS7359,"Energy Drinks, Batteries, Gum, Toiletries"
TranS7360,Snacks
TranS7361,"Magazine, Gum, Snacks, Soft Drinks, Milk"
TranS7362,Cigarettes
TranS7363,"Snacks, Milk"
TranS7364,"Magazine, Soft Drinks, Cigarettes, Batteries, Candy"
TranS7365,Snacks
TranS7366,"Batteries, Gum, Magazine, Milk, Candy"
TranS7367,"Batteries, Candy, Snacks"
TranS7368,"Gum, Milk, Toiletries, Candy"
TranS7369,"Gum, Energy Drinks"
TranS7370,"Candy, Toiletries"
TranS7371,"Gum, Candy, Magazine, Energy Drinks"
TranS7372,Cigarettes
TranS7373,"Snacks, Milk, Cigarettes, Batteries, Candy"
TranS7374,"Energy Drinks, Snacks, Soft Drinks"
TranS7375,Milk
TranS7376,Milk
TranS7377,"Candy, Gum, Magazine, Energy Drinks, Snacks"
TranS7378,"Toiletries, Energy Drinks, Gum"
TranS7379,"Toiletries, Cigarettes, Energy Drinks"
TranS7380,"Magazine, Milk, Batteries, Candy, Snacks"
TranS7381,"Cigarettes, Batteries, Milk, Soft Drinks"
TranS7382,"Gum, Magazine, Milk"
TranS7383,"Snacks, Candy"
TranS7384,"Toiletries, Cigarettes, Candy"
TranS7385,Energy Drinks
TranS7386,"Candy, Toiletries, Snacks, Milk, Magazine"
TranS7387,"Magazine, Candy, Soft Drinks, Gum"
TranS7388,"Milk, Soft Drinks"
TranS7389,"Snacks, Soft Drinks"
TranS7390,"Magazine, Gum, Cigarettes"
TranS7391,"Cigarettes, Magazine, Batteries, Energy Drinks"
TranS7392,Milk
TranS7393,"Milk, Gum"
TranS7394,"Candy, Snacks, Magazine, Gum, Milk"
TranS7395,Magazine
TranS7396,"Energy Drinks, Cigarettes, Toiletries, Gum, Milk"
TranS7397,Candy
TranS7398,"Toiletries, Magazine, Candy"
TranS7399,"Gum, Soft Drinks, Milk, Snacks"
TranS7400,"Snacks, Batteries"
TranS7401,Snacks
TranS7402,"Magazine, Candy"
TranS7403,Milk
TranS7404,"Gum, Milk, Cigarettes"
TranS7405,Energy Drinks
TranS7406,Batteries
TranS7407,"Energy Drinks, Soft Drinks, Snacks"
TranS7408,"Candy, Energy Drinks, Batteries, Soft Drinks, Magazine"
TranS7409,Snacks
TranS7410,"Soft Drinks, Snacks, Milk"
TranS7411,"Magazine, Batteries, Gum"
TranS7412,"Snacks, Milk"
TranS7413,Toiletries
TranS7414,"Toiletries, Cigarettes, Batteries, Milk"
TranS7415,"Candy, Milk, Snacks, Cigarettes, Magazine"
TranS7416,"Milk, Batteries"
TranS7417,"Candy, Gum, Magazine, Snacks"
TranS7418,"Batteries, Soft Drinks, Milk, Cigarettes, Toiletries"
TranS7419,Energy Drinks
TranS7420,"Gum, Cigarettes, Energy Drinks, Snacks, Milk"
TranS7421,"Candy, Gum, Snacks, Magazine"
TranS7422,"Energy Drinks, Toiletries, Candy"
TranS7423,"Soft Drinks, Energy Drinks, Gum, Snacks"
TranS7424,Snacks
TranS7425,"Toiletries, Magazine, Energy Drinks, Snacks"
TranS7426,"Batteries, Gum"
TranS7427,Batteries
TranS7428,"Cigarettes, Magazine, Soft Drinks, Toiletries"
TranS7429,"Magazine, Gum, Snacks"
TranS7430,Soft Drinks
TranS7431,"Batteries, Energy Drinks, Milk, Candy"
TranS7432,"Gum, Batteries"
TranS7433,"Snacks, Gum"
TranS7434,"Energy Drinks, Magazine, Cigarettes, Batteries, Gum"
TranS7435,"Magazine, Candy"
TranS7436,"Magazine, Soft Drinks, Toiletries, Gum, Candy"
TranS7437,"Snacks, Gum"
TranS7438,"Toiletries, Candy"
TranS7439,Milk
TranS7440,"Snacks, Toiletries"
TranS7441,"Batteries, Candy"
TranS7442,"Milk, Soft Drinks, Candy, Energy Drinks"
TranS7443,"Candy, Soft Drinks, Energy Drinks, Milk, Gum"
TranS7444,"Milk, Magazine, Toiletries, Energy Drinks"
TranS7445,"Batteries, Candy, Toiletries"
TranS7446,Milk
TranS7447,"Toiletries, Energy Drinks, Milk, Batteries, Snacks"
TranS7448,"Snacks, Cigarettes, Batteries, Gum"
TranS7449,"Gum, Cigarettes, Milk"
TranS7450,"Candy, Energy Drinks, Soft Drinks, Batteries, Milk"
TranS7451,"Soft Drinks, Snacks"
TranS7452,"Candy, Energy Drinks"
TranS7453,Soft Drinks
TranS7454,"Batteries, Gum"
TranS7455,"Batteries, Gum, Toiletries, Cigarettes"
TranS7456,"Cigarettes, Candy, Gum, Batteries"
TranS7457,"Candy, Energy Drinks, Milk, Gum"
TranS7458,"Cigarettes, Batteries, Milk, Toiletries"
TranS7459,"Snacks, Candy, Soft Drinks"
TranS7460,Magazine
TranS7461,"Cigarettes, Batteries, Energy Drinks, Gum, Candy"
TranS7462,"Snacks, Toiletries, Milk, Cigarettes"
TranS7463,"Gum, Candy, Batteries"
TranS7464,"Magazine, Soft Drinks"
TranS7465,"Gum, Magazine, Energy Drinks, Toiletries, Candy"
TranS7466,"Batteries, Magazine"
TranS7467,Energy Drinks
TranS7468,"Batteries, Soft Drinks, Gum"
TranS7469,"Milk, Toiletries"
TranS7470,Energy Drinks
TranS7471,"Magazine, Gum"
TranS7472,"Cigarettes, Energy Drinks"
TranS7473,"Gum, Milk, Cigarettes"
TranS7474,"Candy, Energy Drinks"
TranS7475,"Magazine, Snacks, Energy Drinks"
TranS7476,Snacks
TranS7477,"Energy Drinks, Magazine, Cigarettes, Toiletries"
TranS7478,"Magazine, Soft Drinks, Candy, Gum, Milk"
TranS7479,"Cigarettes, Milk"
TranS7480,Magazine
TranS7481,Gum
TranS7482,"Batteries, Candy, Magazine"
TranS7483,"Magazine, Energy Drinks"
TranS7484,"Soft Drinks, Gum, Magazine, Batteries"
TranS7485,Snacks
TranS7486,"Batteries, Magazine, Snacks"
TranS7487,"Milk, Energy Drinks, Cigarettes, Magazine"
TranS7488,"Milk, Cigarettes, Energy Drinks, Soft Drinks"
TranS7489,"Energy Drinks, Milk, Gum, Toiletries, Candy"
TranS7490,"Soft Drinks, Magazine, Milk, Snacks, Batteries"
TranS7491,Energy Drinks
TranS7492,Gum
TranS7493,Snacks
TranS7494,"Cigarettes, Energy Drinks"
TranS7495,"Candy, Energy Drinks, Milk, Toiletries, Batteries"
TranS7496,"Cigarettes, Magazine, Energy Drinks"
TranS7497,"Energy Drinks, Gum, Soft Drinks"
TranS7498,"Milk, Snacks, Energy Drinks"
TranS7499,"Toiletries, Milk, Batteries, Cigarettes, Soft Drinks"
TranS7500,"Toiletries, Cigarettes"
TranS7501,"Toiletries, Cigarettes, Gum, Magazine, Milk"
TranS7502,"Candy, Milk, Cigarettes, Energy Drinks, Magazine"
TranS7503,"Toiletries, Magazine"
TranS7504,"Candy, Magazine, Soft Drinks"
TranS7505,"Cigarettes, Milk"
TranS7506,"Soft Drinks, Magazine, Batteries, Cigarettes"
TranS7507,"Candy, Cigarettes"
TranS7508,Milk
TranS7509,"Batteries, Snacks, Magazine"
TranS7510,"Candy, Gum, Milk, Batteries"
TranS7511,Energy Drinks
TranS7512,"Gum, Cigarettes, Soft Drinks, Magazine"
TranS7513,"Energy Drinks, Batteries, Toiletries"
TranS7514,"Candy, Milk, Energy Drinks, Cigarettes, Gum"
TranS7515,"Magazine, Milk"
TranS7516,Magazine
TranS7517,Snacks
TranS7518,"Gum, Snacks"
TranS7519,"Magazine, Toiletries"
TranS7520,Batteries
TranS7521,"Soft Drinks, Candy, Gum, Milk, Batteries"
TranS7522,"Candy, Magazine, Soft Drinks"
TranS7523,"Magazine, Gum, Milk, Energy Drinks, Soft Drinks"
TranS7524,"Candy, Snacks, Magazine"
TranS7525,"Milk, Batteries, Energy Drinks"
TranS7526,"Candy, Gum, Soft Drinks, Cigarettes, Batteries"
TranS7527,"Milk, Candy, Magazine, Snacks, Soft Drinks"
TranS7528,"Cigarettes, Snacks, Gum, Batteries"
TranS7529,"Snacks, Candy, Batteries, Magazine"
TranS7530,"Energy Drinks, Cigarettes"
TranS7531,Soft Drinks
TranS7532,Soft Drinks
TranS7533,"Batteries, Candy, Soft Drinks, Magazine, Energy Drinks"
TranS7534,Toiletries
TranS7535,"Gum, Magazine, Batteries"
TranS7536,"Batteries, Toiletries, Milk, Candy"
TranS7537,"Batteries, Soft Drinks, Cigarettes, Snacks"
TranS7538,"Milk, Magazine, Cigarettes, Energy Drinks, Toiletries"
TranS7539,Toiletries
TranS7540,"Soft Drinks, Candy, Gum, Toiletries"
TranS7541,"Milk, Snacks"
TranS7542,"Toiletries, Milk, Soft Drinks, Snacks, Magazine"
TranS7543,"Snacks, Candy, Soft Drinks, Energy Drinks, Cigarettes"
TranS7544,"Magazine, Snacks"
TranS7545,"Cigarettes, Toiletries"
TranS7546,"Toiletries, Candy"
TranS7547,"Soft Drinks, Energy Drinks, Snacks"
TranS7548,"Magazine, Cigarettes, Batteries, Soft Drinks"
TranS7549,"Energy Drinks, Snacks, Soft Drinks"
TranS7550,"Magazine, Milk, Batteries"
TranS7551,"Energy Drinks, Cigarettes, Batteries"
TranS7552,"Soft Drinks, Milk"
TranS7553,"Batteries, Snacks"
TranS7554,"Gum, Cigarettes"
TranS7555,"Candy, Gum, Batteries, Milk, Cigarettes"
TranS7556,"Snacks, Batteries, Candy, Soft Drinks"
TranS7557,"Batteries, Soft Drinks"
TranS7558,"Milk, Gum, Cigarettes, Candy, Batteries"
TranS7559,Cigarettes
TranS7560,"Cigarettes, Gum, Soft Drinks, Milk, Snacks"
TranS7561,Cigarettes
TranS7562,"Candy, Milk, Toiletries"
TranS7563,"Energy Drinks, Milk, Toiletries"
TranS7564,"Candy, Gum, Cigarettes"
TranS7565,"Batteries, Cigarettes"
TranS7566,"Energy Drinks, Snacks, Candy"
TranS7567,"Cigarettes, Energy Drinks"
TranS7568,Milk
TranS7569,"Toiletries, Batteries, Cigarettes"
TranS7570,"Batteries, Milk"
TranS7571,"Magazine, Soft Drinks, Batteries, Candy, Toiletries"
TranS7572,Magazine
TranS7573,"Magazine, Soft Drinks, Cigarettes, Milk"
TranS7574,"Cigarettes, Soft Drinks, Energy Drinks"
TranS7575,"Snacks, Magazine"
TranS7576,Magazine
TranS7577,"Gum, Magazine, Cigarettes"
TranS7578,Magazine
TranS7579,"Cigarettes, Energy Drinks"
TranS7580,"Toiletries, Snacks, Soft Drinks"
TranS7581,"Toiletries, Milk, Batteries, Snacks, Magazine"
TranS7582,"Cigarettes, Milk, Toiletries, Gum, Magazine"
TranS7583,Cigarettes
TranS7584,"Toiletries, Milk, Energy Drinks"
TranS7585,"Candy, Gum"
TranS7586,"Milk, Magazine, Toiletries, Soft Drinks, Gum"
TranS7587,"Magazine, Candy, Batteries, Toiletries"
